Id;Matriz;Pestaña;Nombre;Texto a mostrar;posx_nombre;posy_nombre;Valor;posx_valor;posy_valor;Obligatorio
1;1;2;Logo - Imagen institucional de la corporación;Logo - Imagen institucional de la corporación;B;10;ImageField;5;13;True
2;1;2;Nombre de la corporación;Nombre de la corporación;B;18;Corporaciones;4;18;True
3;1;2;NIT;NIT;B;20;(\d{3}).(\d{3}).(\d{3})-(\d);4;20;True
4;1;2;Sigla;Sigla;B;22;Siglas;4;22;True
5;1;2;Dirección de la sede principal;Dirección de la sede principal;B;24;;4;24;True
6;1;2;Ciudad;Ciudad;B;27;Ciudades;4;27;True
7;1;2;Horario Atención De;De;E;29;;5;29;True
8;1;2;Horario de Atención A;A;H;29;;8;29;True
9;1;2;Días de atención al público De;De;E;31;dias_semana;5;31;True
10;1;2;Días de atención al público A;A;H;31;dias_semana;8;31;True
11;1;2;Teléfono PBX indicativo;+57;E;33;(\d);5;33;True
12;1;2;Teléfono PBX;Teléfono PBX;B;33;(\d{7});6;33;True
13;1;2;Página web;Página web;B;35;URL;4;35;True
14;1;2;Correo electrónico de contacto;Correo electrónico de contacto;B;37;mailfield;4;37;True
15;1;2;Área de la jurisdicción;Área de la jurisdicción;B;40;Float;4;40;True
16;1;2;Número de municipios de la jurisdicción;Número de municipios de la jurisdicción;B;146;;4;146;True
17;;;;;;;;;;
18;;;;;;;;;;
19;;;;;;;;;;
20;;;;;;;;;;
21;;;;;;;;;;
22;;;;;;;;;;
23;;;;;;;;;;
24;;;;;;;;;;
25;;;;;;;;;;
26;;;;;;;;;;
27;;;;;;;;;;
28;;;;;;;;;;
29;;;;;;;;;;
30;;;;;;;;;;
31;;;;;;;;;;
32;;;;;;;;;;
33;;;;;;;;;;
34;;;;;;;;;;
35;;;;;;;;;;
36;;;;;;;;;;
37;;;;;;;;;;
38;;;;;;;;;;
39;;;;;;;;;;
40;;;;;;;;;;
41;;;;;;;;;;
42;;;;;;;;;;
43;;;;;;;;;;
44;;;;;;;;;;
45;;;;;;;;;;
46;;;;;;;;;;
47;;;;;;;;;;
48;;;;;;;;;;
49;;;;;;;;;;
50;;;;;;;;;;
51;;;;;;;;;;
52;;;;;;;;;;
53;;;;;;;;;;
54;;;;;;;;;;
55;;;;;;;;;;
56;;;;;;;;;;
57;;;;;;;;;;
58;;;;;;;;;;
59;;;;;;;;;;
60;;;;;;;;;;
61;;;;;;;;;;
62;;;;;;;;;;
63;;;;;;;;;;
64;;;;;;;;;;
65;;;;;;;;;;
66;;;;;;;;;;
67;;;;;;;;;;
68;;;;;;;;;;
69;;;;;;;;;;
70;;;;;;;;;;
71;;;;;;;;;;
72;;;;;;;;;;
73;;;;;;;;;;
74;;;;;;;;;;
75;;;;;;;;;;
76;;;;;;;;;;
77;;;;;;;;;;
78;;;;;;;;;;
79;;;;;;;;;;
80;;;;;;;;;;
81;;;;;;;;;;
82;;;;;;;;;;
83;;;;;;;;;;
84;;;;;;;;;;
85;;;;;;;;;;
86;;;;;;;;;;
87;;;;;;;;;;
88;;;;;;;;;;
89;;;;;;;;;;
90;;;;;;;;;;
91;;;;;;;;;;
92;;;;;;;;;;
93;;;;;;;;;;
94;;;;;;;;;;
95;;;;;;;;;;
96;;;;;;;;;;
